Tool;Source;Target;RunIndex;PhaseName;MetricName;MetricValue
reference;sumehr_example.kmehr;output.fhir;0;Initialization;Runtime (ns);989279912
reference;sumehr_example.kmehr;output.fhir;0;Initialization;Memory used (b);19325032
reference;sumehr_example.kmehr;output.fhir;0;Load;Runtime (ns);336167491
reference;sumehr_example.kmehr;output.fhir;0;Load;Memory used (b);22832792
reference;sumehr_example.kmehr;output.fhir;0;Run;Entries;25
reference;sumehr_example.kmehr;output.fhir;0;Run;Runtime (ns);128746126
reference;sumehr_example.kmehr;output.fhir;0;Run;Memory used (b);23606344
reference;sumehr_example10.kmehr;output.fhir;0;Initialization;Runtime (ns);978177644
reference;sumehr_example10.kmehr;output.fhir;0;Initialization;Memory used (b);19344472
reference;sumehr_example10.kmehr;output.fhir;0;Load;Runtime (ns);377144914
reference;sumehr_example10.kmehr;output.fhir;0;Load;Memory used (b);23258288
reference;sumehr_example10.kmehr;output.fhir;0;Run;Entries;214
reference;sumehr_example10.kmehr;output.fhir;0;Run;Runtime (ns);296253080
reference;sumehr_example10.kmehr;output.fhir;0;Run;Memory used (b);24730856
reference;sumehr_example.kmehr;output.fhir;1;Initialization;Runtime (ns);996910645
reference;sumehr_example.kmehr;output.fhir;1;Initialization;Memory used (b);19350032
reference;sumehr_example.kmehr;output.fhir;1;Load;Runtime (ns);339086761
reference;sumehr_example.kmehr;output.fhir;1;Load;Memory used (b);22857328
reference;sumehr_example.kmehr;output.fhir;1;Run;Entries;25
reference;sumehr_example.kmehr;output.fhir;1;Run;Runtime (ns);127954101
reference;sumehr_example.kmehr;output.fhir;1;Run;Memory used (b);23627280
reference;sumehr_example10.kmehr;output.fhir;1;Initialization;Runtime (ns);1005303566
reference;sumehr_example10.kmehr;output.fhir;1;Initialization;Memory used (b);19331432
reference;sumehr_example10.kmehr;output.fhir;1;Load;Runtime (ns);375413719
reference;sumehr_example10.kmehr;output.fhir;1;Load;Memory used (b);23244000
reference;sumehr_example10.kmehr;output.fhir;1;Run;Entries;214
reference;sumehr_example10.kmehr;output.fhir;1;Run;Runtime (ns);341722091
reference;sumehr_example10.kmehr;output.fhir;1;Run;Memory used (b);24711400
reference;sumehr_example.kmehr;output.fhir;2;Initialization;Runtime (ns);996888423
reference;sumehr_example.kmehr;output.fhir;2;Initialization;Memory used (b);19502840
reference;sumehr_example.kmehr;output.fhir;2;Load;Runtime (ns);338445410
reference;sumehr_example.kmehr;output.fhir;2;Load;Memory used (b);23009816
reference;sumehr_example.kmehr;output.fhir;2;Run;Entries;25
reference;sumehr_example.kmehr;output.fhir;2;Run;Runtime (ns);128465700
reference;sumehr_example.kmehr;output.fhir;2;Run;Memory used (b);23786168
reference;sumehr_example10.kmehr;output.fhir;2;Initialization;Runtime (ns);990843744
reference;sumehr_example10.kmehr;output.fhir;2;Initialization;Memory used (b);19335288
reference;sumehr_example10.kmehr;output.fhir;2;Load;Runtime (ns);370003899
reference;sumehr_example10.kmehr;output.fhir;2;Load;Memory used (b);23250848
reference;sumehr_example10.kmehr;output.fhir;2;Run;Entries;214
reference;sumehr_example10.kmehr;output.fhir;2;Run;Runtime (ns);307398299
reference;sumehr_example10.kmehr;output.fhir;2;Run;Memory used (b);24713880
